layer,PC,spearman_r,p,n
0,1,0.006850221747884473,0.09335890687795477,60000
1,1,0.0007564621202861462,0.8530009641279973,60000
2,1,0.3392058666807357,0.0,60000
3,1,-0.06080556841861088,2.9349444327492093e-50,60000
4,1,-0.053951639063650116,6.314255418986491e-40,60000
5,1,0.03094391894065577,3.4200762777482505e-14,60000
6,1,0.00142050519536203,0.7278820771742032,60000
7,1,0.028373201053724997,3.6208659147782115e-12,60000
8,1,0.034804179330429785,1.4934571710208235e-17,60000
9,1,-0.01381516705183496,0.0007141147409551502,60000
10,1,-0.0233203828549864,1.110266667148213e-08,60000
11,1,-0.01159411247998059,0.004511321737027671,60000
12,1,-0.007015026708255392,0.08574027993508321,60000
13,1,-0.02617405655512157,1.4336562805072106e-10,60000
14,1,-0.030720429086302486,5.2095702938584065e-14,60000
15,1,-0.038405967542701425,4.924773590568045e-21,60000
16,1,-0.05568262653850799,2.0268878089567888e-42,60000
17,1,-0.049220573024772084,1.6445607541303216e-33,60000
18,1,-0.04400739445018766,4.0716067561951e-27,60000
19,1,-0.04367994300630868,9.722207987438458e-27,60000
20,1,-0.039969553971894084,1.1922477010291911e-22,60000
21,1,-0.036122479039348517,8.68410794544115e-19,60000
22,1,-0.035365770579772283,4.501704279606192e-18,60000
23,1,-0.0716572773677045,3.855649184416972e-69,60000
24,1,-0.08425416007303527,5.900818183167916e-95,60000
25,1,-0.08328877689978624,7.907530173088312e-93,60000
26,1,-0.09291347921538928,3.82472424067933e-115,60000
27,1,-0.08346149406829646,3.3059223150622484e-93,60000
28,1,-0.007782749924496098,0.05660276749087499,60000
29,1,-0.014078430397024628,0.0005635088461156339,60000
30,1,0.05086718572041589,1.1204572436785786e-35,60000
31,1,0.05086718572041589,1.1204572436785786e-35,60000
0,2,-0.0027464345535467153,0.5011231633520621,60000
1,2,-0.010948076011249431,0.007323937688348744,60000
2,2,-0.05707656047612425,1.7453454184848994e-44,60000
3,2,-0.005009459116680874,0.21980605139729503,60000
4,2,-0.014246062671703702,0.0004836303637219072,60000
5,2,-0.018672790059452854,4.780789978547357e-06,60000
6,2,-0.011254225090862362,0.005838061734366333,60000
7,2,-0.006406103939978367,0.1166125263713122,60000
8,2,-0.0035170866520268093,0.38896740957184983,60000
9,2,-0.006511017391255203,0.11074562459483607,60000
10,2,-9.549374653306027e-05,0.9813386966902993,60000
11,2,-0.00022694656801451471,0.9556690909591259,60000
12,2,1.0882104004514406e-05,0.9978732374867433,60000
13,2,-0.0006558718360287667,0.8723676512710793,60000
14,2,0.0008148829596786214,0.8417929430121183,60000
15,2,-0.0004519439749879041,0.9118535224235812,60000
16,2,-0.0003716267328688878,0.9274705860060504,60000
17,2,-0.001636200497738382,0.6885839074537102,60000
18,2,-0.0009303134144593849,0.8197437152161695,60000
19,2,-0.0029665028261291067,0.4674536964872459,60000
20,2,-0.0028332973355463874,0.4876820770932965,60000
21,2,-0.0012901444587210132,0.7519925576812295,60000
22,2,-0.0031143510731570546,0.44555699887175326,60000
23,2,-0.0030389944268126193,0.4566437253532951,60000
24,2,0.007398239815272046,0.06995865133828977,60000
25,2,0.006142413898668061,0.13243702310200786,60000
26,2,0.0055070766244978125,0.17735787882521484,60000
27,2,0.00033548853544827323,0.9345068671288711,60000
28,2,-0.0004095092049319291,0.920100779646225,60000
29,2,0.013253295517553514,0.0011685147767445036,60000
30,2,-0.008572296790516035,0.03574906647885607,60000
31,2,-0.008572296790516035,0.03574906647885607,60000
0,3,-0.00757286489474638,0.06360287597292441,60000
1,3,-0.012211135263039602,0.0027792506590171785,60000
2,3,-0.012189976221318883,0.0028267954604315358,60000
3,3,0.016281114017905312,6.656995815495524e-05,60000
4,3,0.005100008411896893,0.2115831831396413,60000
5,3,0.002378583320610059,0.5601489835170332,60000
6,3,0.00714691853565803,0.08001203463673258,60000
7,3,0.003155173829870963,0.4396156477441515,60000
8,3,0.003143078143624699,0.44137129871554803,60000
9,3,0.016043099734422236,8.497701085783869e-05,60000
10,3,0.02879154161745079,1.741293325719095e-12,60000
11,3,0.02891953734801868,1.3889860059722984e-12,60000
12,3,0.02897333114495832,1.2627344225772307e-12,60000
13,3,0.03524543453766954,5.82990494198003e-18,60000
14,3,0.03881519423229518,1.8860628867418037e-21,60000
15,3,0.042335734300225525,3.2380283158500693e-25,60000
16,3,0.049593836951406636,5.3839212141098245e-34,60000
17,3,0.047246517004780816,5.252735049767039e-31,60000
18,3,0.04704514700563123,9.335586762847731e-31,60000
19,3,0.041514742284818815,2.6127216629229055e-24,60000
20,3,0.043258985843738725,2.9485597439494176e-26,60000
21,3,0.04034520970196424,4.771697247641947e-23,60000
22,3,0.03660444694198279,2.9910861206559768e-19,60000
23,3,0.04545750767797348,7.985312783825066e-29,60000
24,3,0.015445749246281417,0.00015459650217235682,60000
25,3,0.0116590923781667,0.004291228668476319,60000
26,3,0.02140584708892779,1.5727556340291683e-07,60000
27,3,-0.0018237409443427658,0.6550811834666428,60000
28,3,-0.008206594121432036,0.04441121254854822,60000
29,3,-0.015675787249133197,0.00012307244124367317,60000
30,3,-0.000754994907044312,0.8532828408858435,60000
31,3,-0.000754994907044312,0.8532828408858435,60000
0,4,0.002735379474274785,0.502847787796177,60000
1,4,0.006019559223151826,0.14035576314577258,60000
2,4,-0.005907559814174766,0.14788762667434535,60000
3,4,-0.01051509875867763,0.010004312996311973,60000
4,4,0.0015899840252193013,0.6969380483783242,60000
5,4,-0.014785723993499013,0.0002924806072405131,60000
6,4,-0.010166533510569004,0.012763731133350286,60000
7,4,-0.005854122781585539,0.15158830644823743,60000
8,4,-0.00569585644230152,0.16296263909754324,60000
9,4,-0.007495132822110166,0.0663705790733778,60000
10,4,0.024459291074802013,2.0721245290464053e-09,60000
11,4,0.024016792401827042,4.014017527278375e-09,60000
12,4,0.02295676457663054,1.867371584534406e-08,60000
13,4,0.02943724014488888,5.512206260543016e-13,60000
14,4,0.033407517101407415,2.717364081911659e-16,60000
15,4,0.035378174580374976,4.383102547839463e-18,60000
16,4,0.042647271916272746,1.4507636512664408e-25,60000
17,4,0.02848419224050058,2.984668426665203e-12,60000
18,4,0.029718750730340106,3.3127135510117607e-13,60000
19,4,0.02981478920263297,2.781473741624796e-13,60000
20,4,0.028962869497062026,1.2863715454348542e-12,60000
21,4,0.028841611642516085,1.5941080322047983e-12,60000
22,4,0.02811277448844297,5.681611505145505e-12,60000
23,4,0.055142966770259975,1.2377092847183203e-41,60000
24,4,-0.0037973572218670875,0.3522971887659212,60000
25,4,0.0026854146440115642,0.510681407146548,60000
26,4,0.015166748080960859,0.00020303046263898987,60000
27,4,-0.0015430794294954261,0.7054543110736826,60000
28,4,-0.013461996140790725,0.0009752089669569558,60000
29,4,0.020796851790221723,3.494556041282404e-07,60000
30,4,0.000860863045765008,0.832994047127475,60000
31,4,0.000860863045765008,0.832994047127475,60000
0,5,6.748243553264932e-05,0.9868120402922366,60000
1,5,-0.01996450077525127,1.0049358071027013e-06,60000
2,5,0.03330837207240194,3.3241112958496564e-16,60000
3,5,0.03551026207519832,3.2965446233107207e-18,60000
4,5,-0.001555526694025296,0.7031906634138934,60000
5,5,0.006062136267762086,0.13757117254910137,60000
6,5,0.025308107653861177,5.644205841956616e-10,60000
7,5,-0.016798509328172215,3.872092439953927e-05,60000
8,5,-0.011848869994608947,0.0037030359144848393,60000
9,5,0.047993252167069095,6.095374963415718e-32,60000
10,5,-0.07820365224424357,4.9498138767207617e-82,60000
11,5,-0.07671346742987874,5.354609150842065e-79,60000
12,5,-0.07898854438726476,1.182642067340495e-83,60000
13,5,-0.0671422982296124,6.58151913584028e-61,60000
14,5,-0.06987679243070186,7.881847818856033e-66,60000
15,5,-0.06826817504346532,6.542695238591011e-63,60000
16,5,-0.05571339872112792,1.8272302052987235e-42,60000
17,5,-0.062199937770047495,1.6397782702545316e-52,60000
18,5,-0.06550384328703764,4.709899487370942e-58,60000
19,5,-0.059175667527545425,1.0871736062797309e-47,60000
20,5,-0.05947003290031935,3.78039837396982e-48,60000
21,5,-0.05600900932895004,6.728090563964806e-43,60000
22,5,-0.05791724297669564,9.373846325772935e-46,60000
23,5,-0.08117413376167126,2.958214333263328e-88,60000
24,5,-0.08942019781293567,9.270394603791479e-107,60000
25,5,-0.07157165313465699,5.587476193129387e-69,60000
26,5,-0.07176610969364801,2.404527765647594e-69,60000
27,5,-0.04604460704069332,1.5683376385959632e-29,60000
28,5,0.005720214034441081,0.16117136578183025,60000
29,5,0.021885862580660796,8.255656749876237e-08,60000
30,5,0.003763271007853423,0.3566363338197457,60000
31,5,0.003763271007853423,0.3566363338197457,60000
