category,layer,real_mean,rand_mean,ratio,p_mannwhitney,n_real,n_rand
P_LP,0,0.15920324727892876,0.15999041145046553,0.9950799290757467,0.5479918973791034,300,900
P_LP,1,0.18399081349372864,0.1843604864511225,0.997994836287808,0.9667792010641061,300,900
P_LP,2,0.2172309162716071,0.2137778976228502,1.0161523650814863,0.5416669045320709,300,900
P_LP,3,0.24764157126347225,0.24816416333119073,0.9978941678737834,0.5068355139934626,300,900
P_LP,4,0.3893834026157856,0.3807766721314854,1.0226030928736312,0.8455692816859887,300,900
P_LP,5,0.533595872024695,0.5160751314626799,1.0339499803301067,0.5947262681219703,300,900
P_LP,6,0.886714120109876,0.8669426757759519,1.022805941945617,0.6841793840033493,300,900
P_LP,7,1.320622763633728,1.2918177646564113,1.0222980359656055,0.7459020796069413,300,900
P_LP,8,1.521680063654979,1.4755899854501089,1.0312350169487028,0.5834508684011123,300,900
P_LP,9,1.8291167397300403,1.7766371640894147,1.029538713194443,0.5053589511405342,300,900
P_LP,10,2.195486141741276,2.1397665559914376,1.0260400302050805,0.45560243931164124,300,900
P_LP,11,2.559714011947314,2.4914837645159826,1.0273853871347969,0.44704961154958145,300,900
P_LP,12,2.755821933845679,2.6739007648825646,1.0306373258271282,0.38514531259328444,300,900
P_LP,13,3.000590645869573,2.9257940215534632,1.0255645557291815,0.4525869458197096,300,900
P_LP,14,3.175032888650894,3.0923200532794,1.0267478249166924,0.43394104058138006,300,900
P_LP,15,3.33228287756443,3.2402809721893733,1.0283931875552426,0.4026452561489051,300,900
P_LP,16,3.5306716818610826,3.430491084522671,1.0292029901463366,0.37512062474843477,300,900
P_LP,17,3.7476433171828587,3.643895899090502,1.0284715647662304,0.35475968261616075,300,900
P_LP,18,3.908155393997828,3.8018486574954458,1.0279618538451802,0.34720901449591757,300,900
P_LP,19,4.119331656893094,4.0064453119370675,1.028176185163363,0.35356062834596247,300,900
P_LP,20,4.4266012233495715,4.3099115477005645,1.0270747263273334,0.35948065882269775,300,900
P_LP,21,4.857934951583545,4.720233067803913,1.0291726874079328,0.3077538564749961,300,900
P_LP,22,5.3925967975457505,5.194376446670956,1.0381605670882463,0.175369321701361,300,900
P_LP,23,6.146686811447143,5.874537904924817,1.0463268619467372,0.11811875376957144,300,900
P_LP,24,7.6173517934481305,7.27112572087182,1.0476165707852454,0.07123899913517769,300,900
P_LP,25,11.919154291947683,11.35293547577328,1.0498742212868812,0.02428702629956915,300,900
P_LP,26,17.751909968058268,16.840556948449876,1.0541165605388294,0.006921699599811587,300,900
P_LP,27,33.73749572436015,31.560175264146594,1.06898949204148,0.00018083367514518074,300,900
P_LP,28,7242.710390625,6745.269557562934,1.073746620326585,0.004730139118524155,300,900
P_LP,29,7495089.385833333,6502663.9869444445,1.1526182808894025,7.403830193999224e-05,300,900
P_LP,30,2041264077783.04,1805444388240.4978,1.1306158700198798,0.0023110176985321395,300,900
P_LP,31,2041264077783.04,1805444388240.4978,1.1306158700198798,0.0023110176985321395,300,900
B_LB,0,0.15209714129567145,0.16336981447206603,0.9309990452469905,9.708165148265e-34,300,900
B_LB,1,0.17132855092485746,0.1895647970504231,0.9037994057477091,2.891801438726314e-51,300,900
B_LB,2,0.1950755713880062,0.21672262190116776,0.900116331542753,4.410626456132826e-40,300,900
B_LB,3,0.21269132062792778,0.24681718760066562,0.861736261949669,1.2994604870588205e-34,300,900
B_LB,4,0.28330709497133894,0.36047220329443613,0.7859332630425647,8.791476775858124e-38,300,900
B_LB,5,0.34230465908845265,0.4532053235338794,0.7552970834925853,2.0992975440350693e-40,300,900
B_LB,6,0.4667759789526463,0.6576358740859561,0.7097787656450695,1.0827157682438308e-32,300,900
B_LB,7,0.5840389426549276,0.9299643832445145,0.6280229148317468,1.8690937141237663e-33,300,900
B_LB,8,0.6583979972203573,1.063825128045347,0.618896827930814,1.235764778887527e-33,300,900
B_LB,9,0.829465491771698,1.3144479537672467,0.6310371509152762,1.0915610035843847e-30,300,900
B_LB,10,0.9533696366349856,1.5071139377024438,0.6325796695161435,7.563551826195794e-28,300,900
B_LB,11,1.0745697789390882,1.745847297873762,0.6155004393842397,1.6058984942071721e-27,300,900
B_LB,12,1.1541256692012152,1.8698617115616798,0.6172251466860119,7.365542901596047e-27,300,900
B_LB,13,1.2735334194699923,2.0564181046022307,0.6192969302399376,5.364953507385634e-26,300,900
B_LB,14,1.371404473086198,2.2230172654324107,0.6169113008753169,1.9394447097917213e-26,300,900
B_LB,15,1.4681952665249507,2.350156042410268,0.6247224609899529,8.494419058493624e-26,300,900
B_LB,16,1.5834234246611596,2.5043152384294403,0.6322779977388909,8.537859546987528e-25,300,900
B_LB,17,1.6924065843224525,2.655407012667921,0.637343569648131,4.077705646388251e-24,300,900
B_LB,18,1.7924083230892818,2.8029742875695227,0.6394665591611584,8.505323325658363e-24,300,900
B_LB,19,1.9279186283548673,2.984850715001424,0.6459011898536264,7.049684331817267e-24,300,900
B_LB,20,2.215252707997958,3.29795317835278,0.6717053239380447,3.5193708842289406e-23,300,900
B_LB,21,2.5805716359615327,3.715734650823805,0.6944983639747799,4.083314158613313e-22,300,900
B_LB,22,2.9737586124738056,4.163363316721386,0.7142683417827718,4.474645048441263e-21,300,900
B_LB,23,3.322132625579834,4.666136195394728,0.7119664935752698,1.151284603120886e-19,300,900
B_LB,24,4.459568251768748,5.917981467379464,0.7535623888568014,3.3434497650752627e-16,300,900
B_LB,25,7.472222621440888,9.418170082569123,0.7933836993738583,7.452665035327395e-14,300,900
B_LB,26,11.079072632789611,13.895583653450013,0.7973089082903607,6.886643458083151e-17,300,900
B_LB,27,21.828793665568035,26.391613127390542,0.827111005310737,4.5480678561639464e-14,300,900
B_LB,28,5098.614351806641,5367.637372097439,0.9498805523470608,6.228336277279345e-06,300,900
B_LB,29,3642539.3254166665,4042780.427395833,0.9009985555319948,0.0012733853474561994,300,900
B_LB,30,1045751614341.12,1122762702265.4578,0.931409292659127,0.0004175404411908159,300,900
B_LB,31,1045751614341.12,1122762702265.4578,0.931409292659127,0.0004175404411908159,300,900
